TITLE ="THE    1TH MODE WITH FREQ=   34.344 HZ ON AERO MODEL FROM FILE MODE1.PLT"
VARIABLES= X, Y, Z, EXTID
ZONE I=      96 J=      24 F=FEPOINT
      45      46      47      48
      49      50      51      52
      53      54      55      56
      57      58      59      60
      61      62      63      64
      65      66      67      68
      69      70      71      72
      73      74      75      76
      77      78      79      80
      81      82      83      84
      85      86      87      88
      89      90      91      92
      93      94      95      96
