 ASE=     200 MACH NUMBER= 8.0000E-01 IROW=    2 ICOL=    1

          COMPUTED DATA                   RATIONAL APPROXIMATION
   REDUCED       GENERALIZED FORCE     REDUCED       GENERALIZED FORCE
  FREQUENCY     REAL      IMAGINARY   FREQUENCY     REAL      IMAGINARY

  0.0000E+00 -1.0265E+02  0.0000E+00  0.0000E+00 -1.0265E+02  0.0000E+00
  1.0000E-01 -1.0164E+02  4.6384E+00  1.0000E-01 -1.0155E+02  4.2743E+00
  1.5000E-01 -1.0092E+02  6.5116E+00  1.5000E-01 -1.0066E+02  6.5509E+00
  2.0000E-01 -1.0020E+02  8.2437E+00  2.0000E-01 -1.0001E+02  8.2989E+00
  2.5000E-01 -9.9491E+01  9.9344E+00  2.5000E-01 -9.9564E+01  1.0115E+01
  3.0000E-01 -9.8740E+01  1.1658E+01  3.0000E-01 -9.9024E+01  1.2131E+01
  4.0000E-01 -9.6822E+01  1.5323E+01  4.0000E-01 -9.6994E+01  1.6357E+01
  5.0000E-01 -9.3770E+01  1.9049E+01  5.0000E-01 -9.3517E+01  1.9883E+01
  6.0000E-01 -8.9216E+01  2.1962E+01  6.0000E-01 -8.9069E+01  2.1916E+01
  8.0000E-01 -7.8414E+01  2.1435E+01  8.0000E-01 -7.9848E+01  2.0676E+01
  1.0000E+00 -7.4026E+01  1.3648E+01  1.0000E+00 -7.3182E+01  1.3286E+01
