 ASE=     200 MACH NUMBER= 8.0000E-01 IROW=    1 ICOL=    1

          COMPUTED DATA                   RATIONAL APPROXIMATION
   REDUCED       GENERALIZED FORCE     REDUCED       GENERALIZED FORCE
  FREQUENCY     REAL      IMAGINARY   FREQUENCY     REAL      IMAGINARY

  0.0000E+00 -7.6465E+01  0.0000E+00  0.0000E+00 -7.6465E+01  0.0000E+00
  1.0000E-01 -7.5799E+01 -2.0000E+01  1.0000E-01 -7.5960E+01 -1.9889E+01
  1.5000E-01 -7.5199E+01 -3.0251E+01  1.5000E-01 -7.5571E+01 -3.0417E+01
  2.0000E-01 -7.4512E+01 -4.0644E+01  2.0000E-01 -7.4818E+01 -4.0774E+01
  2.5000E-01 -7.3782E+01 -5.1155E+01  2.5000E-01 -7.3842E+01 -5.1367E+01
  3.0000E-01 -7.3047E+01 -6.1755E+01  3.0000E-01 -7.2905E+01 -6.2190E+01
  4.0000E-01 -7.1681E+01 -8.3030E+01  4.0000E-01 -7.1512E+01 -8.3848E+01
  5.0000E-01 -7.0479E+01 -1.0396E+02  5.0000E-01 -7.0346E+01 -1.0459E+02
  6.0000E-01 -6.9055E+01 -1.2394E+02  6.0000E-01 -6.8475E+01 -1.2413E+02
  8.0000E-01 -6.1768E+01 -1.6097E+02  8.0000E-01 -6.0285E+01 -1.6128E+02
  1.0000E+00 -4.4697E+01 -2.0040E+02  1.0000E+00 -4.5901E+01 -1.9917E+02
