TITLE = "ell.dat"
VARIABLES = "X", "Y", "data_001"
ZONE N = 65, E = 96, DATAPACKING = POINT, ZONETYPE = FETRIANGLE
    0.000000    0.000000    0.000000
    0.000000    0.500000    0.250000
    0.500000    0.000000    0.250000
    0.000000    1.000000    1.000000
    0.500000    0.500000    0.484936
    1.000000    0.000000    1.000000
    0.000000    1.500000    2.250000
    0.500000    1.000000    1.228907
    1.000000    0.500000    1.228907
    1.500000    0.000000    2.250000
    0.000000    4.000000   16.000000
    2.000000    4.000000   20.000000
    1.500000    4.000000   18.250000
    1.000000    4.000000   17.000000
    0.500000    4.000000   16.250000
    0.000000    3.500000   12.250000
    0.000000    3.000000    9.000000
    0.000000    2.500000    6.250000
    0.000000    2.000000    4.000000
    0.500000    1.500000    2.477101
    1.000000    1.000000    1.969931
    1.500000    0.500000    2.477101
    2.000000    0.000000    4.000000
    0.500000    3.500000   12.486414
    2.000000    3.500000   16.250000
    1.500000    3.500000   14.486232
    1.000000    3.500000   13.232655
    0.500000    3.000000    9.230857
    0.500000    2.500000    6.478465
    0.500000    2.000000    4.227354
    1.000000    1.500000    3.217907
    1.500000    1.000000    3.217907
    2.000000    0.500000    4.227354
    2.500000    0.000000    6.250000
    1.000000    3.000000    9.975150
    2.000000    3.000000   13.000000
    1.500000    3.000000   11.230618
    1.000000    2.500000    7.221698
    1.000000    2.000000    4.969625
    1.500000    1.500000    4.468256
    2.000000    1.000000    4.969625
    2.500000    0.500000    6.478465
    3.000000    0.000000    9.000000
    1.500000    2.500000    8.477874
    2.000000    2.500000   10.250000
    1.500000    2.000000    6.225220
    3.500000    0.000000   12.250000
    2.000000    1.500000    6.225220
    2.500000    1.000000    7.221698
    3.000000    0.500000    9.230857
    4.000000    0.000000   16.000000
    2.000000    2.000000    8.000000
    3.500000    0.500000   12.486414
    2.500000    1.500000    8.477874
    3.000000    1.000000    9.975150
    4.000000    0.500000   16.250000
    2.500000    2.000000   10.250000
    3.500000    1.000000   13.232655
    3.000000    1.500000   11.230618
    4.000000    1.000000   17.000000
    3.000000    2.000000   13.000000
    3.500000    1.500000   14.486232
    4.000000    1.500000   18.250000
    3.500000    2.000000   16.250000
    4.000000    2.000000   20.000000
       1       3       2
       6       5       3
       4       2       5
       3       5       2
      23      22      10
      21       9      22
       6      10       9
      22       9      10
      19       7      20
       4       8       7
      21      20       8
       7       8      20
       6       9       5
      21       8       9
       4       5       8
       9       8       5
      52      46      48
      39      40      46
      41      48      40
      46      40      48
      19      20      30
      21      31      20
      39      30      31
      20      31      30
      23      33      22
      41      32      33
      21      22      32
      33      32      22
      39      31      40
      21      32      31
      41      40      32
      31      32      40
      23      34      33
      43      42      34
      41      33      42
      34      42      33
      51      53      47
      55      50      53
      43      47      50
      53      50      47
      52      48      54
      41      49      48
      55      54      49
      48      49      54
      43      50      42
      55      49      50
      41      42      49
      50      49      42
      65      64      63
      61      62      64
      60      63      62
      64      62      63
      52      54      57
      55      59      54
      61      57      59
      54      59      57
      51      56      53
      60      58      56
      55      53      58
      56      58      53
      61      59      62
      55      58      59
      60      62      58
      59      58      62
      19      30      18
      39      29      30
      17      18      29
      30      29      18
      52      44      46
      35      38      44
      39      46      38
      44      38      46
      11      16      24
      17      28      16
      35      24      28
      16      28      24
      39      38      29
      35      28      38
      17      29      28
      38      28      29
      12      13      25
      14      26      13
      36      25      26
      13      26      25
      11      24      15
      35      27      24
      14      15      27
      24      27      15
      52      45      44
      36      37      45
      35      44      37
      45      37      44
      14      27      26
      35      37      27
      36      26      37
      27      37      26
