TITLE = "Example: Simple 3D-Volume Data"
VARIABLES = "X", "Y", "Z", "Density"
ZONE I=3, J=4, K=3, F=BLOCK

1.0 2.0 3.0 1.0 2.1 3.1 1.0 2.2 3.2 1.0 2.3 3.3
1.1 2.2 3.3 1.1 2.3 3.4 1.1 2.4 3.6 1.2 2.7 3.7
1.1 2.3 3.4 1.2 2.3 3.5 1.2 2.5 3.8 1.3 2.8 3.9

2.0 2.1 2.2 3.0 3.2 3.4 4.0 4.4 4.8 5.1 5.5 5.9
2.0 2.0 2.1 3.0 3.1 3.2 4.0 4.3 4.6 5.0 5.3 5.5
2.0 2.0 2.0 3.0 3.0 3.2 4.0 4.3 4.5 5.0 5.2 5.4

1.1 1.2 1.1 1.2 1.5 1.3 1.3 1.4 1.2 1.0 1.1 1.0
2.0 2.2 2.0 2.2 2.7 2.3 2.3 2.5 2.2 2.0 2.3 2.0
3.1 3.3 3.1 3.3 3.8 3.5 3.4 3.9 3.4 3.2 3.5 3.2

2.21 5.05 7.16 3.66 10.1 13.8 5.21 13.4 18.3 5.13 13.8 19.4
4.43 9.73 14.0 7.27 19.0 25.1 9.98 25.7 36.3 12.2 32.0 40.4
6.68 15.5 21.1 11.8 26.5 39.1 16.9 45.1 58.1 17.8 49.2 65.9
