TITLE = "Example: Simple 3D-Volume Data"
VARIABLES = "X", "Y", "Z", "Density"
ZONE I=3, J=4, K=3, F=POINT
1.0 2.0 1.1 2.21
2.0 2.1 1.2 5.05
3.0 2.2 1.1 7.16
1.0 3.0 1.2 3.66
2.1 3.2 1.5 10.1
3.1 3.4 1.3 13.8
1.0 4.0 1.3 5.21
2.2 4.4 1.4 13.4
3.2 4.8 1.2 18.3
1.0 5.1 1.0 5.13
2.3 5.5 1.1 13.8
3.3 5.9 1.0 19.4
1.1 2.0 2.0 4.43
2.2 2.0 2.2 9.73
3.3 2.1 2.0 14.0
1.1 3.0 2.2 7.27
2.3 3.1 2.7 19.0
3.4 3.2 2.3 25.1
1.1 4.0 2.3 9.98
2.4 4.3 2.5 25.7
3.6 4.6 2.2 36.3
1.2 5.0 2.0 12.2
2.7 5.3 2.3 32.0
3.7 5.5 2.0 40.4
1.1 2.0 3.1 6.68
2.3 2.0 3.3 15.5
3.4 2.0 3.1 21.1
1.2 3.0 3.3 11.8
2.3 3.0 3.8 26.5
3.5 3.2 3.5 39.1
1.2 4.0 3.4 16.9
2.5 4.3 3.9 45.1
3.8 4.5 3.4 58.1
1.3 5.0 3.2 17.8
2.8 5.2 3.5 49.2
3.9 5.4 3.2 65.9
