TITLE = "cube.tec created by IVREAD."
VARIABLES = "X", "Y", "Z", "R", "G", "B"
ZONE N = 8, E = 12, DATAPACKING = POINT, ZONETYPE = FETRIANGLE
  0.000E+00  0.000E+00  0.000E+00  0.700      0.700      0.700    
   1.00      0.000E+00  0.000E+00  0.700      0.700      0.700    
   1.00       2.00      0.000E+00  0.700      0.700      0.700    
  0.000E+00   2.00      0.000E+00  0.700      0.700      0.700    
  0.000E+00  0.000E+00   1.00      0.700      0.700      0.700    
   1.00      0.000E+00   1.00      0.700      0.700      0.700    
   1.00       2.00       1.00      0.700      0.700      0.700    
  0.000E+00   2.00       1.00      0.700      0.700      0.700    
     4     3     2
     4     2     1
     5     6     7
     5     7     8
     1     5     8
     1     8     4
     4     8     7
     4     7     3
     3     7     6
     3     6     2
     2     6     5
     2     5     1
