TITLE = "EXAMPLE: 3D GEOMETRIES" 
VARIABLES = "X", "Y", "Z"
ZONE T="Floor", I=3, J=3, F=POINT 
0.   0.  0.
5.   0.  0.
10.  0.  0.
0.   5.  0.
5.   5.  0.
10.  5.  0.
0.  10.  0.
5.  10.  0.
10. 10.  0.
ZONE T="Ceiling", I=3, J=3, F=POINT
0.   0.  10.
5.   0.  10.
10.  0.  10.
0.   5.  10.
5.   5.  10.
10.  5.  10.
0.  10.  10.
5.  10.  10.
10. 10.  10.
GEOMETRY X=0, Y=0, Z=0, M=GRID, C=BLUE, T=LINE3D, F=POINT, AAT=BOTH,
AST=PLAIN, ASZ=.01
1      
12    
10.     4.0    10.
9.5     5.0    10.0
9.3     4.0    9.0
10.     5.0    9.5
9.2     4.0    8.2
8.8     5.3    7.6
7.8     5.6    7.0
7.2     5.2    5.0
6.9     6.0    5.5
6.9     4.5    6.4
7.3     4.6    6.8
8.2     4.8    7.0
GEOMETRY X=0, Y=0, Z=0, M=GRID, C=RED, T=LINE3D, F=BLOCK
1
20
0 .1 .5 .7 1.  2. 4.9 6.3 6.5 6.6 6.9 8.  8.5 9. 10. 10. 10. 9.5 8. 
9.
0 .1 .3 .4 .5 .7 .8   1.  2.  3.  3.5 3.7 4.  4. 4.  4.  4.5 5.  5. 
6.
0 .1 .3 1. 3. 5.  6.  8.  10. 10. 10. 9.  7.  5. 2.  1.  0.  0.  0. 
3.
