TITLE = "Example: Simple XY Plot"
VARIABLES = "Distance", "Temperature", "Weight1", "Weight2", "Weight3", "Weight4"
ZONE T="Only Zone", I=20, F=POINT
0.0       850.9        1    1    1    1
0.022     790.1        2    1    1    1
0.051     554.0        1    3    1    0
0.069     540.0        2    1    4    0
0.075     545.5        1    1    1    0
0.083     549.4        2    3    1    0
0.106     590.2        1    1    1    0
0.1234    535.1        2    1    4    0
0.15      601.0        1    3    1    1
0.201     664.5        2    1    1    1
0.25      635.9        1    1    1    1
0.35      599.9        2    3    4    1
0.4454    600.0        1    1    1    1
0.49      513.0        2    1    1    1
0.5656    442.0        1    3    1    1
0.6423    333.5        2    1    4    1
0.6604    300.4        1    1    1    1
0.7       245.7        2    3    1    1
0.89      221.4        1    1    1    1
1.3       200.0        2    1    4    1

ZONE T="Twice-Weighted Zone", I=10, F=POINT
0.022     790.1        2    1    1    1
0.069     540.0        2    1    4    1
0.083     549.4        2    3    1    1
0.1234    535.1        2    1    4    1
0.201     664.5        2    1    1    1
0.35      599.9        2    3    4    1
0.49      513.0        2    1    1    1
0.6423    333.5        2    1    4    1
0.7       245.7        2    3    1    1
1.3       200.0        2    1    4    1
ZONE T="Thrice-Weighted Zone", I=6, F=POINT
0.051     554.0        1    3    1    1
0.083     549.4        2    3    1    1
0.15      601.0        1    3    1    1
0.35      599.9        2    3    4    1
0.5656    442.0        1    3    1    1
0.7       245.7        2    3    1    1
ZONE T="Four-Times Weighted Zone", I=5, F=POINT
0.069     540.0        2    1    4    1
0.1234    535.1        2    1    4    1
0.35      599.9        2    3    4    1
0.6423    333.5        2    1    4    1
1.3       200.0        2    1    4    1
