TITLE = "Example: FE-Volume Tetrahedral Data"
VARIABLES = "X", "Y", "Z", "C", "U", "V", "W"
ZONE N = 13, E = 20, DATAPACKING = POINT, ZONETYPE = FETETRAHEDRON
  0   0 -95  -1   1   0   8
  0  85 -42   0 -85  -3   9
 81  26 -42   2 -22  80   8
 50 -69 -42  -6  72  52   9
-50 -69 -42  14  67 -48   9
-81  26 -42  20 -30 -82   9
  0  0   0   1  -2  -5  10
 50  69  43  14 -68  48  11
 81 -26  43  20  31  82  11
  0 -85  43   0  84   3  10
-81 -26  43   2  21 -80  11
-50  69  43  -6 -71 -51  11
  0  0  96   1   0  -1  12

1 2 3 7
1 3 4 7
1 4 5 7
1 5 6 7
1 6 2 7
2 8 3 7
3 9 4 7
4 10 5 7
5 11 6 7
6 12 2 7
12 2 8 7
8 3 9 7
9 4 10 7
10 5 11 7
11 6 12 7
12 8 13 7
8 9 13 7
9 10 13 7
10 11 13 7
11 12 13 7
