TITLE = "Example: FE-Volume Tetrahedral Data"
VARIABLES = "X", "Y", "Z", "C", "U", "V", "W"
ZONE N = 13, E = 20, DATAPACKING = BLOCK, ZONETYPE = FETETRAHEDRON
0 0 81 50 -50 -81 0 50 81 0 -81 -50 0
0 85 26 -69 -69 26 0 69 -26 -85 -26 69 0
-95 -42 -42 -42 -42 -42 0 43 43 43 43 43 96
-1 0 2 -6 14 20 1 14 20 0 2 -6 1
1 -85 -22 72 67 -30 -2 -68 31 84 21 -71 0
0 -3 80 52 -48 -82 -5 48 82 3 -80 -51 -1
8 9 8 9 9 9 10 11 11 10 11 11 12

1 2 3 7
1 3 4 7
1 4 5 7
1 5 6 7
1 6 2 7
2 8 3 7
3 9 4 7
4 10 5 7
5 11 6 7
6 12 2 7
12 2 8 7
8 3 9 7
9 4 10 7
10 5 11 7
11 6 12 7
12 8 13 7
8 9 13 7
9 10 13 7
10 11 13 7
11 12 13 7
